City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Yellowknife,62.456,-114.3525,-19.44,76,20,6.91,1037,CA,1732766201
1,Labrador City,52.9463,-66.9114,31.17,88,100,2.3,1006,CA,1732766743
2,Wailua Homesteads,22.0669,-159.378,72.12,78,1,12.21,1016,US,1732766489
3,Anadyr,64.75,177.4833,30.7,86,40,26.84,1023,RU,1732766681
4,Thompson,55.7435,-97.8558,8.76,92,75,2.3,1020,CA,1732766592
5,Adamstown,-25.066,-130.1015,72.68,75,100,14.88,1021,PN,1732766747
6,Adamstown,-25.066,-130.1015,72.68,75,100,14.88,1021,PN,1732766747
7,Avarua,-21.2078,-159.775,77.05,83,75,10.36,1013,CK,1732766486
8,Ancud,-41.8697,-73.8203,46.67,86,43,1.25,1018,CL,1732766408
9,Sur,22.5667,59.5289,79.7,48,0,3.4,1015,OM,1732766752
10,Holualoa,19.6228,-155.9522,75.04,83,20,8.05,1015,US,1732766753
11,Margaret River,-33.95,115.0667,72.93,46,0,8.34,1018,AU,1732766754
12,Qaqortoq,60.7167,-46.0333,16.12,77,95,6.17,1024,GL,1732766755
13,Mörön,49.6342,100.1625,24.06,44,81,6.06,1035,MN,1732766756
14,Pisco,-13.7,-76.2167,66.25,88,0,8.05,1014,PE,1732766757
15,Zemio,5.0314,25.1361,68.14,49,52,3.27,1015,CF,1732766760
16,Port-aux-Français,-49.35,70.2167,39.67,94,91,28.83,991,TF,1732766761
17,Sangkhla Buri,15.1555,98.4536,84.11,48,100,4.65,1014,TH,1732766763
18,Edinburgh of the Seven Seas,-37.0676,-12.3116,59.5,88,77,23.13,1017,SH,1732766764
19,Port Elizabeth,-33.918,25.5701,62.31,80,75,9.22,1021,ZA,1732766607
20,Callao,-12.0667,-77.15,69.71,88,75,11.5,1014,PE,1732766766
21,Puerto Ayora,-0.7393,-90.3518,71.55,92,95,8.99,1013,EC,1732766767
22,Blackmans Bay,-43.0167,147.3167,57.72,78,94,1.99,1023,AU,1732766768
23,Isafjordur,66.0755,-23.124,12.92,88,100,20.56,1024,IS,1732766380
24,Usinsk,65.9939,57.5281,25.45,93,100,6.24,1023,RU,1732766770
25,Hamilton,39.1834,-84.5333,42.82,94,100,6.91,1007,US,1732766403
26,Ushuaia,-54.8,-68.3,44.26,76,0,14.97,1010,AR,1732766773
27,Tazovsky,67.4667,78.7,-1.05,99,29,6.58,1019,RU,1732766554
28,Papatowai,-46.5619,169.4708,52.09,95,100,20.62,1008,NZ,1732766496
29,Bethel,41.3712,-73.414,41.32,74,81,0.58,1015,US,1732766506
30,Codrington,-38.2667,141.9667,59.04,79,100,12.17,1016,AU,1732766777
31,Iskateley,67.6803,53.1512,22.68,91,22,7.49,1022,RU,1732766778
32,Puerto Natales,-51.7236,-72.4875,46.36,79,100,3.53,1013,CL,1732766779
33,Waitangi,-43.9535,-176.5597,56.41,90,92,27.67,1015,NZ,1732766383
34,Acaraú,-2.8856,-40.12,78.4,76,93,16.11,1010,BR,1732766782
35,Dunedin,-45.8742,170.5036,68.81,68,100,5.99,1005,NZ,1732766381
36,Udachny,66.4167,112.4,3.56,96,100,8.72,1000,RU,1732766653
